ranking,color1,percentage1,color2,percentage2,color3,percentage3,color4,percentage4,color5,percentage5
1,"(12.0,3.0,48.0)",36.93,"(240.0,10.0,13.0)",19.66,"(242.0,1.0,84.0)",15.39,"(190.0,38.0,16.0)",14.18,"(336.0,2.0,61.0)",13.84
2,"(229.0,19.0,10.0)",54.93,"(213.0,18.0,22.0)",36.84,"(352.0,64.0,41.0)",4.77,"(336.0,28.0,20.0)",2.84,"(4.0,42.0,20.0)",0.62
3,"(245.0,22.0,15.0)",48.86,"(229.0,22.0,30.0)",27.02,"(272.0,17.0,13.0)",16.52,"(328.0,16.0,13.0)",5.47,"(13.0,15.0,15.0)",2.14
4,"(150.0,7.0,11.0)",36.04,"(63.0,10.0,20.0)",34.60,"(212.0,11.0,13.0)",20.64,"(6.0,7.0,17.0)",6.97,"(318.0,6.0,14.0)",1.75
5,"(229.0,15.0,18.0)",44.43,"(34.0,6.0,66.0)",38.45,"(27.0,23.0,30.0)",10.49,"(333.0,8.0,54.0)",3.68,"(232.0,3.0,75.0)",2.95
6,"(233.0,28.0,14.0)",49.41,"(233.0,70.0,4.0)",41.96,"(39.0,5.0,48.0)",4.71,"(315.0,4.0,38.0)",2.03,"(0.0,5.0,14.0)",1.89
7,"(196.0,24.0,45.0)",59.40,"(25.0,8.0,36.0)",16.51,"(229.0,17.0,13.0)",14.62,"(212.0,78.0,3.0)",7.14,"(44.0,89.0,4.0)",2.34
8,"(238.0,20.0,17.0)",60.96,"(267.0,26.0,11.0)",25.78,"(209.0,60.0,83.0)",9.29,"(213.0,75.0,33.0)",3.39,"(23.0,3.0,17.0)",0.58
9,"(29.0,57.0,25.0)",38.69,"(40.0,24.0,70.0)",38.33,"(237.0,13.0,11.0)",13.01,"(2.0,0.0,5.0)",9.20,"(318.0,18.0,8.0)",0.77
10,"(239.0,19.0,16.0)",44.96,"(218.0,30.0,51.0)",23.52,"(221.0,36.0,32.0)",19.51,"(229.0,11.0,46.0)",11.92,"(310.0,16.0,9.0)",0.09
11,"(219.0,30.0,27.0)",62.20,"(213.0,49.0,17.0)",23.10,"(216.0,86.0,8.0)",7.48,"(210.0,15.0,64.0)",7.03,"(23.0,1.0,42.0)",0.20
12,"(35.0,26.0,62.0)",47.88,"(22.0,41.0,18.0)",39.73,"(23.0,71.0,6.0)",6.35,"(231.0,35.0,25.0)",5.78,"(329.0,31.0,11.0)",0.26
13,"(224.0,25.0,14.0)",52.11,"(230.0,69.0,5.0)",28.70,"(245.0,29.0,10.0)",18.25,"(13.0,13.0,16.0)",0.71,"(339.0,26.0,17.0)",0.23
14,"(26.0,12.0,56.0)",34.79,"(14.0,5.0,80.0)",30.58,"(342.0,2.0,78.0)",26.56,"(213.0,18.0,14.0)",5.51,"(270.0,4.0,54.0)",2.55
15,"(235.0,96.0,9.0)",63.99,"(208.0,26.0,52.0)",27.92,"(0.0,2.0,5.0)",4.73,"(62.0,4.0,60.0)",2.69,"(122.0,96.0,0.0)",0.67
16,"(71.0,17.0,31.0)",54.32,"(29.0,26.0,59.0)",28.50,"(18.0,39.0,28.0)",8.50,"(229.0,19.0,14.0)",5.36,"(349.0,28.0,30.0)",3.32
17,"(189.0,18.0,32.0)",32.05,"(33.0,44.0,46.0)",28.11,"(35.0,30.0,67.0)",23.25,"(110.0,2.0,76.0)",10.48,"(148.0,23.0,23.0)",6.11
18,"(153.0,12.0,10.0)",41.70,"(4.0,1.0,9.0)",27.17,"(205.0,42.0,24.0)",18.82,"(187.0,82.0,6.0)",6.92,"(238.0,13.0,10.0)",5.38
19,"(224.0,33.0,10.0)",72.80,"(223.0,74.0,3.0)",13.89,"(240.0,6.0,52.0)",8.32,"(7.0,1.0,24.0)",3.44,"(141.0,56.0,2.0)",1.55
20,"(18.0,42.0,16.0)",56.87,"(214.0,15.0,22.0)",27.00,"(209.0,31.0,10.0)",13.17,"(210.0,80.0,3.0)",2.63,"(331.0,21.0,16.0)",0.32
21,"(270.0,24.0,9.0)",47.04,"(247.0,25.0,11.0)",37.82,"(339.0,64.0,23.0)",11.65,"(320.0,31.0,10.0)",2.74,"(6.0,15.0,8.0)",0.75
22,"(220.0,25.0,29.0)",39.94,"(210.0,11.0,45.0)",26.47,"(212.0,8.0,61.0)",22.70,"(225.0,34.0,18.0)",10.44,"(223.0,79.0,9.0)",0.45
23,"(228.0,20.0,9.0)",29.77,"(18.0,3.0,11.0)",29.24,"(170.0,21.0,11.0)",26.73,"(59.0,10.0,76.0)",11.45,"(59.0,65.0,3.0)",2.81
24,"(240.0,17.0,18.0)",50.92,"(226.0,67.0,9.0)",22.53,"(208.0,12.0,57.0)",15.83,"(338.0,9.0,28.0)",6.35,"(33.0,6.0,44.0)",4.37
25,"(70.0,15.0,16.0)",73.88,"(46.0,20.0,28.0)",16.84,"(39.0,22.0,56.0)",6.73,"(110.0,12.0,11.0)",1.76,"(53.0,65.0,7.0)",0.79
26,"(221.0,6.0,45.0)",41.31,"(0.0,0.0,11.0)",24.99,"(12.0,4.0,76.0)",24.98,"(54.0,14.0,25.0)",4.68,"(327.0,13.0,20.0)",4.05
27,"(30.0,18.0,75.0)",36.82,"(201.0,23.0,36.0)",31.57,"(215.0,38.0,18.0)",16.67,"(33.0,37.0,46.0)",9.42,"(259.0,24.0,12.0)",5.52
28,"(250.0,18.0,11.0)",47.95,"(339.0,8.0,44.0)",43.33,"(25.0,7.0,57.0)",6.57,"(250.0,1.0,84.0)",1.88,"(152.0,10.0,24.0)",0.27
29,"(204.0,28.0,12.0)",43.80,"(215.0,74.0,5.0)",29.04,"(234.0,7.0,36.0)",20.60,"(304.0,3.0,53.0)",4.01,"(23.0,11.0,29.0)",2.56
30,"(231.0,20.0,14.0)",35.26,"(23.0,6.0,46.0)",28.41,"(260.0,1.0,77.0)",20.86,"(334.0,3.0,56.0)",10.12,"(1.0,4.0,7.0)",5.36
31,"(212.0,27.0,18.0)",54.03,"(150.0,11.0,7.0)",24.06,"(0.0,0.0,7.0)",16.67,"(76.0,15.0,12.0)",4.89,"(313.0,13.0,11.0)",0.35
32,"(208.0,56.0,32.0)",39.47,"(10.0,7.0,7.0)",25.67,"(330.0,11.0,8.0)",18.73,"(248.0,17.0,9.0)",11.20,"(31.0,8.0,85.0)",4.93
33,"(215.0,23.0,15.0)",78.50,"(83.0,22.0,30.0)",9.24,"(98.0,10.0,66.0)",7.61,"(166.0,10.0,39.0)",3.64,"(20.0,12.0,49.0)",1.02
34,"(220.0,25.0,13.0)",37.13,"(211.0,19.0,21.0)",28.23,"(64.0,11.0,55.0)",19.98,"(52.0,17.0,22.0)",12.16,"(212.0,6.0,57.0)",2.49
35,"(250.0,27.0,11.0)",51.38,"(256.0,14.0,36.0)",23.95,"(258.0,9.0,63.0)",17.86,"(309.0,8.0,48.0)",6.58,"(10.0,1.0,73.0)",0.22
36,"(231.0,63.0,11.0)",48.33,"(333.0,48.0,23.0)",17.22,"(296.0,14.0,23.0)",17.12,"(249.0,15.0,33.0)",16.52,"(2.0,46.0,3.0)",0.80
37,"(228.0,13.0,14.0)",36.48,"(251.0,19.0,13.0)",23.37,"(15.0,6.0,44.0)",20.54,"(330.0,3.0,57.0)",10.85,"(258.0,2.0,81.0)",8.77
38,"(211.0,21.0,22.0)",45.59,"(259.0,11.0,19.0)",30.86,"(221.0,72.0,10.0)",13.14,"(330.0,10.0,21.0)",8.91,"(8.0,7.0,16.0)",1.50
39,"(222.0,41.0,12.0)",40.71,"(259.0,36.0,11.0)",38.32,"(283.0,32.0,13.0)",12.24,"(343.0,53.0,41.0)",7.94,"(13.0,25.0,40.0)",0.79
40,"(218.0,44.0,19.0)",84.08,"(232.0,28.0,12.0)",9.14,"(210.0,59.0,85.0)",4.18,"(220.0,90.0,15.0)",2.19,"(10.0,6.0,6.0)",0.42
41,"(199.0,37.0,7.0)",34.33,"(198.0,83.0,2.0)",30.63,"(171.0,21.0,12.0)",23.79,"(146.0,88.0,1.0)",8.85,"(51.0,9.0,24.0)",2.40
42,"(26.0,22.0,90.0)",41.08,"(342.0,16.0,23.0)",27.50,"(4.0,20.0,26.0)",14.72,"(25.0,41.0,63.0)",14.06,"(28.0,77.0,93.0)",2.64
43,"(237.0,19.0,12.0)",50.71,"(203.0,2.0,72.0)",33.37,"(8.0,0.0,47.0)",10.46,"(319.0,2.0,34.0)",3.44,"(150.0,1.0,58.0)",2.02
44,"(39.0,22.0,40.0)",46.76,"(160.0,7.0,18.0)",27.73,"(225.0,5.0,54.0)",12.25,"(0.0,0.0,14.0)",11.97,"(319.0,2.0,54.0)",1.29
45,"(247.0,22.0,12.0)",38.85,"(2.0,2.0,3.0)",22.98,"(271.0,5.0,78.0)",17.91,"(331.0,9.0,42.0)",11.81,"(13.0,8.0,60.0)",8.44
46,"(32.0,10.0,39.0)",36.88,"(39.0,3.0,76.0)",31.01,"(79.0,8.0,30.0)",17.27,"(157.0,12.0,26.0)",12.95,"(321.0,2.0,61.0)",1.89
47,"(48.0,50.0,31.0)",36.85,"(37.0,5.0,66.0)",34.57,"(40.0,25.0,24.0)",21.79,"(233.0,11.0,38.0)",4.29,"(326.0,2.0,58.0)",2.50
48,"(25.0,38.0,44.0)",29.27,"(211.0,75.0,2.0)",23.76,"(230.0,24.0,6.0)",23.06,"(22.0,42.0,18.0)",19.23,"(144.0,81.0,1.0)",4.68
49,"(27.0,27.0,21.0)",45.59,"(35.0,7.0,78.0)",30.54,"(232.0,5.0,84.0)",13.63,"(320.0,6.0,31.0)",7.65,"(225.0,40.0,15.0)",2.59
50,"(216.0,29.0,19.0)",29.96,"(175.0,5.0,74.0)",29.00,"(67.0,3.0,53.0)",27.85,"(211.0,83.0,10.0)",11.65,"(125.0,81.0,1.0)",1.54
51,"(225.0,21.0,12.0)",49.37,"(250.0,18.0,11.0)",45.22,"(212.0,78.0,18.0)",2.65,"(223.0,8.0,55.0)",1.93,"(9.0,3.0,24.0)",0.84
52,"(228.0,16.0,19.0)",51.54,"(267.0,9.0,32.0)",21.77,"(25.0,9.0,30.0)",11.86,"(325.0,7.0,27.0)",11.71,"(156.0,18.0,19.0)",3.11
53,"(34.0,14.0,69.0)",60.81,"(209.0,9.0,60.0)",15.69,"(24.0,38.0,31.0)",11.74,"(348.0,64.0,47.0)",9.15,"(139.0,3.0,63.0)",2.61
54,"(232.0,30.0,20.0)",49.42,"(10.0,21.0,37.0)",20.99,"(243.0,13.0,53.0)",15.41,"(244.0,4.0,84.0)",10.55,"(331.0,12.0,41.0)",3.63
55,"(219.0,37.0,10.0)",52.03,"(220.0,59.0,6.0)",28.49,"(241.0,22.0,11.0)",13.82,"(224.0,14.0,24.0)",5.51,"(21.0,12.0,25.0)",0.15
56,"(52.0,14.0,10.0)",63.80,"(118.0,11.0,46.0)",13.41,"(76.0,11.0,60.0)",9.24,"(6.0,11.0,10.0)",8.51,"(244.0,18.0,27.0)",5.04
57,"(0.0,0.0,8.0)",35.54,"(244.0,12.0,13.0)",28.36,"(20.0,20.0,22.0)",17.24,"(336.0,10.0,27.0)",14.91,"(277.0,4.0,46.0)",3.96
58,"(236.0,20.0,17.0)",38.33,"(223.0,64.0,8.0)",24.20,"(331.0,10.0,30.0)",16.53,"(242.0,7.0,79.0)",11.90,"(9.0,11.0,33.0)",9.03
59,"(225.0,25.0,16.0)",31.63,"(4.0,4.0,7.0)",30.05,"(252.0,14.0,16.0)",21.04,"(335.0,21.0,15.0)",15.05,"(145.0,16.0,6.0)",2.24
60,"(30.0,7.0,17.0)",40.92,"(236.0,4.0,29.0)",21.12,"(133.0,42.0,61.0)",19.91,"(330.0,4.0,21.0)",10.12,"(131.0,15.0,27.0)",7.93
61,"(33.0,19.0,74.0)",42.12,"(23.0,52.0,46.0)",26.15,"(206.0,22.0,24.0)",18.05,"(37.0,14.0,16.0)",7.71,"(291.0,6.0,58.0)",5.98
62,"(42.0,21.0,67.0)",38.10,"(48.0,24.0,33.0)",26.80,"(170.0,6.0,84.0)",21.32,"(98.0,4.0,78.0)",10.03,"(188.0,24.0,19.0)",3.76
63,"(30.0,8.0,62.0)",33.76,"(193.0,23.0,25.0)",29.28,"(30.0,14.0,38.0)",19.91,"(197.0,58.0,10.0)",8.68,"(152.0,10.0,20.0)",8.37
64,"(223.0,46.0,22.0)",49.32,"(262.0,25.0,19.0)",23.70,"(231.0,84.0,8.0)",20.80,"(342.0,43.0,19.0)",3.39,"(5.0,35.0,29.0)",2.79
